,Relative_yield_change,yield_of_CT,Latitude,Longitude,Years_since_CT_started,Crop_rotation_CT,Crop_rotation_NT,ST,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Soil_cover_in_CT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin
4115,-0.0576,8160.0,40.8,-96.67,4,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,636.9,535.245,101.655,19.71667,31.8859,4.8187
4306,-0.2287,6435.0,51.33,-85.33,3,1,1,3,1435.0,976.0,1435.0,976.0,0.0,0.0,260.5,381.57,-121.07,11.13333,23.96254,-1.04606
4097,-0.1819,21269.0,45.47,-73.75,5,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,469.9,482.423,-12.523,15.76667,25.6944,2.79841
638,-0.0105,9500.0,45.5,-73.58,9,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,516.0,477.15,38.85,16.68333,25.61568,4.57945
523,-0.0504,13900.0,40.92,-90.72,7,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,524.6999998,538.4389714,-13.739,20.50000048,32.49821423,5.561888172
2722,-0.1391,8340.0,43.28,-81.47,1,1,1,1,1435.0,1435.0,1435.0,1435.0,0.0,0.0,418.2,541.217,-123.017,16.2,25.52041,5.62255
2433,-0.4471,7059.0,43.3,-89.35,12,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,522.0,479.785,42.215,18.35,30.04979,3.83426
726,-0.0127,11672.0,-37.75,-58.3,6,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,796.4,664.476,131.924,18.64286,28.47854,8.17972
4167,0.1189,4880.0,41.52,-99.87,5,1,1,2,1435.0,976.0,1435.0,976.0,0.0,0.0,480.8,518.995,-38.195,17.36667,29.7583,2.0238
1519,-0.0303,6600.0,25.58,85.4,9,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,510.0,420.045,89.955,30.85,37.50149,26.00586
540,0.09,10000.0,41.48,-84.15,50,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,478.9,503.78,-24.88,19.01667,27.76024,5.64082
1131,-0.0264,10610.0,38.08,-86.15,7,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,595.3,501.298,94.002,19.96667,30.12658,7.14011
4356,0.1338,4746.0,35.32,106.07,8,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,239.3,377.762,-138.462,13.84,24.53529,0.1758
3966,-0.2121,6967.0,37.5,112.5,3,1,1,0,1435.0,976.0,1435.0,976.0,0.0,0.0,400.0,450.886,-50.886,22.3,29.9373,9.46676
2445,-0.1682,2878.0,-17.72,31.65,3,1,1,4,1435.0,976.0,1435.0,976.0,0.0,0.0,656.6,634.372,22.228,21.71667,25.62066,8.03995
1423,0.0519,7700.0,31.38,72.03,2,1,1,0,1435.0,1435.0,1435.0,1435.0,0.0,0.0,202.1,384.957,-182.857,31.72,41.81672,19.74682
728,0.0043,6691.0,-37.75,-58.3,9,0,0,1,1435.0,976.0,1435.0,976.0,0.0,0.0,453.8,649.775,-195.975,17.45714,26.10487,5.44561
