yield_of_CT,Tmax,Tmin,Relative_yield_change
8670.0,27.22127,5.96513,0.0519
8340.0,31.46573,3.70733,-0.0827
9688.0,29.6094,1.26928,-0.0904
3430.0,22.15133,7.95546,-0.6356
4564.0,23.79651,5.48964,0.223
10882.0,30.23676,1.81497,-0.0513
10631.0,29.94307,-9.69776,-0.1154
10360.0,33.52842,25.72533,0.0714
6100.0,30.74134,3.73351,0.0328
7750.0,32.86364943,5.623964371,-0.0826
9255.0,38.09192,19.49525,0.2105
8400.0,30.73293,0.53368,-0.0595
8460.0,37.36216,20.16451,-0.0913
9400.0,36.4225,27.06985,0.1064
8790.0,29.65326,4.89069,-0.0387
7600.0,31.07792,4.70649,-0.35
2881.0,25.05818422,15.08641692,0.6234
9340.0,24.70334,-5.42105,0.1413
13300.0,31.31466,6.93685,-0.0677
5268.0,33.81494,5.66872,0.2025
17000.0,41.81672,19.74682,0.0588
9050.0,30.41045,1.28876,-0.2022
8359.0,28.41125,5.12454,0.1028
2570.0,38.48885,17.90754,-0.4436
4640.0,29.33674,6.41483,0.2435
7500.0,37.48028,25.51267,0.04
8690.0,32.13131,5.97867,-0.3763
9630.0,40.41361,20.41231,-0.0602
8104.0,30.85223,9.8688,-0.0328
10900.0,29.77124,5.90084,-0.1716
9623.0,34.45457,5.2742,0.3529
5766.0,31.11509,17.37379,-0.0297
12061.0,28.35973,5.22823,-0.1025
16461.0,25.99207,7.18521,0.0462
9080.0,26.06737,3.71739,0.0253
7288.0,29.14876,1.58776,-0.1696
9800.0,32.85749,5.52775,0.1224
6630.0,30.96772,4.10116,-0.0317
10581.0,28.47854,8.17972,-0.2367
8980.0,32.13131,5.97867,-0.3374
9050.0,28.86081,3.28446,0.0387
8579.0,28.75747,5.77022,-0.071
8266.0,32.4931,2.44523,-0.0675
6990.0,25.59522,7.54019,-0.0086
6400.0,24.47484,3.65757,0.2031
21000.0,24.49918,5.16301,-0.23
8102.0,29.89469,7.46473,0.1516
7247.0,26.56657,1.82102,-0.612
5958.0,31.78592,3.43443,0.1054
10933.0,20.75053,1.0267,-0.1177
4038.0,28.19726,3.33722,0.4495
9230.0,26.6362541,5.018897764,-0.312
4520.0,23.79651,5.48964,-0.0571
5143.0,31.78592,3.43443,-0.0611
11520.0,26.37735,2.8024,-0.4583
13700.0,32.46772,5.53272,-0.0365
7010.0,32.34329,8.52078,-0.1616
11000.0,40.53674,20.90237,0.0409
10200.0,29.00681,7.15509,-0.049
6420.0,30.04979,3.83426,-0.2745
3635.0,33.42112,9.48918,0.0646
9080.0,24.49918,5.16301,-0.141
5100.0,21.61279,2.85842,0.0784
8000.0,33.27053,6.80028,0.025
8690.0,37.5226,17.66174,-0.0879
3200.0,31.46573,3.70733,0.3531
9410.0,29.05464,3.61372,0.1126
2400.0,26.6788,17.19974,-0.0833
